serial no,average_word,word length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate
1,21,4,96,1,0,4,2,97,0,0,0,0.09523809523809523
2,2,4,8,1,0,0,0,9,0,0,0,1.0
3,2,3,5,1,0,0,1,6,0,0,0,3.0
4,6,3,17,1,0,0,0,18,1,0,0,1.3333333333333333
5,8,2,22,1,0,0,0,23,0,0,0,0.625
6,5,3,15,2,0,0,0,17,1,0,0,0.2
7,1,4,3,1,0,0,0,4,0,0,0,5.0
8,5,3,14,1,0,0,0,15,0,0,0,1.6
9,8,4,34,1,0,0,0,35,0,0,0,1.0
10,8,3,25,1,0,0,0,26,0,0,0,0.25
11,2,3,5,1,0,0,0,6,0,0,0,3.5
12,7,3,24,1,0,0,0,25,0,0,0,0.42857142857142855
13,3,2,3,3,0,0,0,6,2,0,0,1.6666666666666667
14,5,3,15,1,0,0,0,16,0,0,0,1.0
15,5,3,17,1,0,0,0,18,0,0,0,1.6
16,8,3,24,1,0,0,2,25,0,0,0,0.375
17,3,4,11,1,0,0,1,12,0,0,0,4.0
18,12,3,41,2,0,0,0,43,1,0,0,0.08333333333333333
19,1,3,2,1,0,0,0,3,0,0,0,10.0
20,10,2,28,1,0,1,0,29,0,0,0,0.6
21,6,3,21,1,0,0,0,22,1,0,0,0.6666666666666666
22,4,3,11,1,0,0,0,12,0,0,0,1.0
23,4,3,13,1,0,0,1,14,2,0,0,1.75
24,7,4,23,5,0,0,0,28,0,0,0,0.8571428571428571
25,6,2,16,1,0,0,0,17,0,0,0,0.5
26,3,2,5,1,0,0,0,6,0,0,0,0.3333333333333333
27,1,0,0,0,0,0,0,0,0,0,0,1.0
28,1,0,0,0,0,0,0,0,0,0,0,1.0
29,1,0,0,0,0,0,0,0,0,0,0,8.0
30,8,3,26,1,0,1,0,27,2,0,0,0.625
31,5,3,17,1,0,0,0,18,0,0,0,0.6
32,3,3,9,1,0,0,3,10,0,1,0,0.3333333333333333
33,1,4,3,1,0,0,0,4,3,0,0,3.0
34,3,3,10,1,0,0,0,11,0,0,0,1.6666666666666667
35,5,2,13,1,0,1,0,14,1,0,0,0.2
36,1,6,5,1,0,0,0,6,0,0,0,4.0
37,4,3,11,1,0,0,0,12,0,0,0,0.75
38,3,6,18,1,0,0,0,19,0,0,0,1.0
39,3,3,9,1,0,0,0,10,0,0,0,1.6666666666666667
40,5,3,14,1,0,0,0,15,0,0,0,0.4
41,2,2,3,1,0,0,0,4,0,0,0,1.5
42,3,2,7,1,0,0,0,8,0,0,0,0.6666666666666666
43,2,2,4,1,0,0,0,5,0,0,0,1.0
44,2,3,6,1,0,0,0,7,0,0,0,2.0
45,4,4,15,1,0,0,1,16,0,0,0,1.25
46,5,2,13,1,0,0,0,14,0,0,0,0.2
47,1,0,0,0,0,0,3,0,0,1,0,5.0
48,5,3,16,1,0,0,0,17,0,0,0,1.0
49,5,3,18,1,0,0,0,19,0,0,0,0.2
50,1,4,3,1,0,0,0,4,0,0,0,4.0
51,4,3,13,1,0,0,0,14,0,0,0,0.75
52,3,2,7,1,0,0,0,8,0,0,0,1.3333333333333333
53,4,1,6,1,0,1,0,7,1,0,0,2.5
54,10,3,32,1,0,0,0,33,1,0,0,1.0
55,10,3,35,1,0,2,1,36,0,0,0,0.2
56,2,3,6,1,0,0,0,7,0,0,0,0.5
57,1,4,3,1,0,0,0,4,0,0,0,8.0
58,8,3,24,3,0,1,0,27,1,0,0,0.75
59,6,3,19,1,0,0,0,20,0,0,0,1.3333333333333333
60,8,4,31,1,0,0,0,32,0,0,0,0.5
61,4,2,10,1,0,1,0,11,0,0,0,0.5
62,2,4,8,1,0,0,0,9,0,0,0,2.0
63,4,4,15,1,0,0,0,16,0,0,0,1.25
64,5,3,14,1,0,0,0,15,1,0,0,1.0
65,5,4,19,1,0,0,0,20,0,0,0,0.6
66,3,4,12,1,0,0,0,13,0,0,0,2.6666666666666665
67,8,4,32,1,0,1,0,33,0,0,0,0.75
68,6,4,23,2,0,0,0,25,0,0,0,0.16666666666666666
69,1,4,3,1,0,0,0,4,0,0,0,5.0
70,5,3,14,1,0,0,0,15,0,0,0,0.6
71,3,3,9,1,0,1,0,10,1,0,0,2.0
72,6,4,23,1,0,0,0,24,0,0,0,0.3333333333333333
73,2,3,5,1,0,0,0,6,0,0,0,2.5
